date subuh terbit dzuhur ashr maghrib isya
01.01 6:31 8:15 12:16 13:52 16:08 17:38
02.01 6:31 8:15 12:16 13:52 16:09 17:40
03.01 6:31 8:15 12:16 13:53 16:11 17:41
04.01 6:31 8:15 12:17 13:54 16:12 17:42
05.01 6:31 8:15 12:17 13:55 16:13 17:43
06.01 6:31 8:14 12:18 13:56 16:14 17:44
07.01 6:30 8:14 12:18 13:57 16:16 17:46
08.01 6:30 8:13 12:19 13:58 16:17 17:47
09.01 6:30 8:13 12:19 14:00 16:19 17:49
10.01 6:29 8:12 12:19 14:01 16:20 17:50
11.01 6:29 8:12 12:20 14:02 16:21 17:51
12.01 6:29 8:11 12:20 14:03 16:23 17:53
13.01 6:28 8:10 12:21 14:04 16:24 17:54
14.01 6:28 8:10 12:21 14:05 16:26 17:56
15.01 6:27 8:09 12:21 14:07 16:28 17:58
16.01 6:27 8:08 12:22 14:08 16:29 17:59
17.01 6:26 8:07 12:22 14:09 16:31 18:01
18.01 6:25 8:06 12:22 14:11 16:33 18:03
19.01 6:24 8:05 12:23 14:12 16:34 18:04
20.01 6:24 8:04 12:23 14:13 16:36 18:06
21.01 6:23 8:03 12:23 14:15 16:38 18:08
22.01 6:22 8:02 12:24 14:16 16:40 18:10
23.01 6:21 8:01 12:24 14:18 16:41 18:11
24.01 6:20 7:59 12:24 14:19 16:43 18:13
25.01 6:19 7:58 12:24 14:21 16:45 18:15
26.01 6:18 7:57 12:24 14:22 16:47 18:17
27.01 6:17 7:55 12:25 14:23 16:49 18:19
28.01 6:16 7:54 12:25 14:25 16:50 18:20
29.01 6:15 7:52 12:25 14:26 16:52 18:22
30.01 6:13 7:51 12:25 14:28 16:54 18:24
31.01 6:12 7:49 12:25 14:29 16:56 18:26
01.02 6:11 7:48 12:26 14:31 16:56 18:28
02.02 6:10 7:46 12:26 14:32 16:58 18:30
03.02 6:08 7:45 12:26 14:34 17:00 18:32
04.02 6:07 7:43 12:26 14:35 17:02 18:34
05.02 6:05 7:41 12:26 14:37 17:04 18:35
06.02 6:04 7:40 12:26 14:39 17:07 18:37
07.02 6:02 7:38 12:26 14:40 17:09 18:39
08.02 6:01 7:36 12:26 14:42 17:11 18:41
09.02 5:59 7:34 12:26 14:43 17:13 18:43
10.02 5:58 7:32 12:26 14:45 17:15 18:45
11.02 5:56 7:31 12:26 14:46 17:17 18:47
12.02 5:54 7:29 12:26 14:48 17:19 18:49
13.02 5:53 7:27 12:26 14:49 17:19 18:51
14.02 5:51 7:25 12:26 14:51 17:21 18:53
15.02 5:49 7:23 12:26 14:52 17:24 18:54
16.02 5:47 7:21 12:26 14:53 17:26 18:56
17.02 5:45 7:19 12:26 14:55 17:28 18:58
18.02 5:44 7:17 12:26 14:56 17:29 19:00
19.02 5:42 7:15 12:26 14:58 17:32 19:02
20.02 5:40 7:13 12:26 14:59 17:34 19:04
21.02 5:38 7:11 12:25 15:01 17:36 19:06
22.02 5:36 7:09 12:25 15:02 17:38 19:08
23.02 5:34 7:06 12:25 15:04 17:40 19:10
24.02 5:32 7:04 12:25 15:05 17:41 19:11
25.02 5:30 7:02 12:25 15:06 17:43 19:13
26.02 5:28 7:00 12:25 15:08 17:45 19:15
27.02 5:26 6:58 12:25 15:09 17:47 19:17
28.02 5:23 6:56 12:24 15:10 17:49 19:19
29.02 5:21 6:53 12:24 15:11 17:50 19:20
01.03 5:19 6:51 12:24 15:12 17:51 19:21
02.03 5:17 6:49 12:24 15:13 17:53 19:22
03.03 5:15 6:47 12:24 15:14 17:55 19:24
04.03 5:12 6:44 12:24 15:16 17:57 19:26
05.03 5:10 6:42 12:23 15:17 17:58 19:28
06.03 5:08 6:40 12:23 15:18 18:00 19:30
07.03 5:05 6:38 12:23 15:20 18:02 19:32
08.03 5:03 6:35 12:23 15:21 18:03 19:33
09.03 5:01 6:33 12:22 15:22 18:05 19:35
10.03 4:58 6:31 12:22 15:23 18:07 19:37
11.03 4:56 6:28 12:22 15:24 18:09 19:39
12.03 4:54 6:26 12:22 15:26 18:11 19:41
13.03 4:51 6:24 12:21 15:27 18:12 19:42
14.03 4:49 6:21 12:21 15:28 18:14 19:44
15.03 4:46 6:19 12:21 15:29 18:16 19:46
16.03 4:44 6:17 12:20 15:30 18:18 19:48
17.03 4:41 6:14 12:20 15:31 18:20 19:50
18.03 4:39 6:12 12:20 15:32 18:21 19:51
19.03 4:36 6:10 12:20 15:34 18:23 19:53
20.03 4:34 6:07 12:19 15:35 18:25 19:55
21.03 4:31 6:05 12:19 15:36 18:27 19:57
22.03 4:28 6:03 12:19 15:37 18:28 19:58
23.03 4:26 6:00 12:18 15:38 18:31 20:00
24.03 4:23 5:58 12:18 15:39 18:32 20:02
25.03 4:21 5:55 12:18 15:40 18:34 20:04
26.03 4:18 5:53 12:17 15:41 18:35 20:05
27.03 4:15 5:51 12:17 15:42 18:37 20:07
28.03 5:12 6:48 13:17 16:43 19:39 21:09
29.03 5:10 6:46 13:17 16:44 19:41 21:11
30.03 5:07 6:44 13:16 16:45 19:43 21:12
31.03 5:04 6:41 13:16 16:46 19:45 21:14
01.04 5:02 6:39 13:16 16:47 19:46 21:16
02.04 4:59 6:37 13:15 16:48 19:48 21:18
03.04 4:56 6:34 13:15 16:49 19:49 21:19
04.04 4:53 6:32 13:15 16:50 19:52 21:21
05.04 4:50 6:30 13:15 16:50 19:53 21:23
06.04 4:48 6:27 13:14 16:51 19:55 21:25
07.04 4:45 6:25 13:14 16:52 19:56 21:26
08.04 4:42 6:23 13:14 16:53 19:58 21:28
09.04 4:39 6:20 13:13 16:54 20:00 21:30
10.04 4:36 6:18 13:13 16:55 20:02 21:32
11.04 4:33 6:16 13:13 16:56 20:04 21:33
12.04 4:31 6:14 13:13 16:57 20:05 21:35
13.04 4:28 6:11 13:12 16:57 20:07 21:37
14.04 4:25 6:09 13:12 16:58 20:09 21:39
15.04 4:22 6:07 13:12 16:59 20:10 21:40
16.04 4:19 6:05 13:12 17:00 20:13 21:42
17.04 4:16 6:02 13:11 17:01 20:14 21:44
18.04 4:13 6:00 13:11 17:01 20:16 21:46
19.04 4:10 5:58 13:11 17:02 20:18 21:47
20.04 4:07 5:56 13:11 17:03 20:19 21:49
21.04 4:04 5:54 13:11 17:04 20:21 21:51
22.04 4:01 5:51 13:10 17:05 20:23 21:53
23.04 3:58 5:49 13:10 17:05 20:25 21:54
24.04 3:55 5:47 13:10 17:06 20:26 21:56
25.04 3:52 5:45 13:10 17:07 20:28 21:58
26.04 3:49 5:43 13:10 17:08 20:30 21:59
27.04 3:46 5:41 13:10 17:08 20:32 22:01
28.04 3:43 5:39 13:09 17:09 20:33 22:03
29.04 3:40 5:37 13:09 17:10 20:35 22:05
30.04 3:36 5:35 13:09 17:11 20:37 22:06
01.05 3:33 5:33 13:09 17:11 20:39 22:08
02.05 3:30 5:31 13:09 17:12 20:40 22:10
03.05 3:27 5:29 13:09 17:13 20:42 22:12
04.05 3:24 5:27 13:09 17:13 20:44 22:13
05.05 3:21 5:25 13:09 17:14 20:45 22:15
06.05 3:17 5:24 13:09 17:15 20:47 22:17
07.05 3:14 5:22 13:08 17:16 20:49 22:18
